Pre-execution info:
  - from: `0xa94f5374Fce5edBC8E2a8697C15331677e6EbF0B`
  - to: `0x00000000000000000000000000000000000000f1`
  - data: `0x81fbe24d1e33d7944b2e62ee0ff24811bbbcf8cb311e5617c80623dec4477cc14849fc042b9bbaebca9f03f66cca76c46353c5a68c2e134ef75f8c2425d9702f3a4bd3c5527e93d27579bdbd7d237eaa1c0278fce26479aaf11fb8d00e7478`
  - gas: `737811`
  - value: `1` wei

|  Pc   |      Op     | Cost |   Refund  |   Stack   |
|-------|-------------|------|-----------|-----------|
|    0  |      PUSH1  |    3 |         0 |        [] |
|    2  |      PUSH1  |    3 |         0 |     [0x2] |
|    4  |     SSTORE  |  22100 |         0 | [0x2,0x3] |
|    5  |      PUSH1  |    3 |         0 |        [] |
|    7  |      PUSH1  |    3 |         0 |     [0x0] |
|    9  |      PUSH1  |    3 |         0 | [0x0,0x0] |
|   11  |      PUSH1  |    3 |         0 |[0x0,0x0,0x0] |
|   13  |      PUSH1  |    3 |         0 |[0x0,0x0,0x0,0x0] |
|   15  |      PUSH1  |    3 |         0 |[0x0,0x0,0x0,0x0,0x0] |
|   17  |        GAS  |    2 |         0 |[0x0,0x0,0x0,0x0,0x0,0x4] |
|   18  |   CALLCODE  |  704504 |         0 |[0x0,0x0,0x0,0x0,0x0,0x4,0xaeba5] |
|   19  |        POP  |    2 |         0 |     [0x1] |
|   20  |     PUSH32  |    3 |         0 |        [] |
|   53  |      PUSH1  |    3 |         0 |[0x600254506003545060016003557f7f6008545060006004557f60016004556000] |
|   55  |     MSTORE  |    6 |         0 |[0x600254506003545060016003557f7f6008545060006004557f60016004556000,0x0] |
|   56  |     PUSH32  |    3 |         0 |        [] |
|   89  |      PUSH1  |    3 |         0 |[0x60045560006000600060006000606000527ff96000527f5af250600060006000] |
|   91  |     MSTORE  |    6 |         0 |[0x60045560006000600060006000606000527ff96000527f5af250600060006000,0x20] |
|   92  |     PUSH32  |    3 |         0 |        [] |
|  125  |      PUSH1  |    3 |         0 |[0x606000527e60f45af45060006000600060006020527f600060f55a6020527ff1] |
|  127  |     MSTORE  |    6 |         0 |[0x606000527e60f45af45060006000600060006020527f600060f55a6020527ff1,0x40] |
|  128  |     PUSH32  |    3 |         0 |        [] |
|  161  |      PUSH1  |    3 |         0 |[0x50f001075205846a44a283446020527f8ca2600060006040527f600060006004] |
|  163  |     MSTORE  |    6 |         0 |[0x50f001075205846a44a283446020527f8ca2600060006040527f600060006004,0x60] |
|  164  |     PUSH32  |    3 |         0 |        [] |
|  197  |      PUSH1  |    3 |         0 |[0x5af4506040527f519930847f3b631c54a49b5f600354503260406060527f527f] |
|  199  |     MSTORE  |    6 |         0 |[0x5af4506040527f519930847f3b631c54a49b5f600354503260406060527f527f,0x80] |
|  200  |     PUSH32  |    3 |         0 |        [] |
|  233  |      PUSH1  |    3 |         0 |[0x77306b60006000600060006060527f6000600c5af15060006000600060006080] |
|  235  |     MSTORE  |    6 |         0 |[0x77306b60006000600060006060527f6000600c5af15060006000600060006080,0xa0] |
|  236  |     PUSH32  |    3 |         0 |        [] |
|  269  |      PUSH1  |    3 |         0 |[0x527f60f85af450506060527f066001600255606080527f035450600060005560] |
|  271  |     MSTORE  |    6 |         0 |[0x527f60f85af450506060527f066001600255606080527f035450600060005560,0xc0] |
|  272  |     PUSH31  |    3 |         0 |        [] |
|  304  |      PUSH1  |    3 |         0 |[0x6060a0527f01556c3394fff4607f7f1684317b6080527f387b9f60a0527f19] |
|  306  |     MSTORE  |    6 |         0 |[0x6060a0527f01556c3394fff4607f7f1684317b6080527f387b9f60a0527f19,0xe0] |
|  307  |     PUSH32  |    3 |         0 |        [] |
|  340  |      PUSH2  |    3 |         0 |[0x20700184809d60c0527f60015450011899016e6009ff60026001556000527f9f] |
