OLD Geth website URLS,Equivalent NEW website URLs,Relative path to markdown file
https://geth.ethereum.org/,https://geth.ethereum.org/,src/pages/homepage
https://geth.ethereum.org/downloads/,https://geth.ethereum.org/downloads/,src/pages/downloads
https://geth.ethereum.org/docs/,https://geth.ethereum.org/docs/,src/pages/docs
https://geth.ethereum.org/docs/getting-started,https://geth.ethereum.org/docs/getting_started/,src/pages/docs/getting_started/getting_started.md
https://geth.ethereum.org/docs/getting-started/geth-and-clef,https://geth.ethereum.org/docs/,src/pages/docs/getting_started/getting-started-with-clef.md
https://geth.ethereum.org/docs/getting-started/dev-mode,https://geth.ethereum.org/docs/,src/pages/docs/developers/geth-developer/dev-mode.md
https://geth.ethereum.org/docs/install-and-build/installing-geth,https://geth.ethereum.org/docs/,src/pages/docs/getting_started/backup-restore.md
https://geth.ethereum.org/docs/install-and-build/backup-restore,https://geth.ethereum.org/docs/,src/pages/docs/getting_started/installing-geth.md
https://geth.ethereum.org/docs/install-and-build/cross-compile,page removed,page removed
https://geth.ethereum.org/docs/interface/command-line-options,https://geth.ethereum.org/docs/fundamentals/command-line-options,src/pages/docs/fundamentals/command-line-options.md
https://geth.ethereum.org/docs/interface/pruning,https://geth.ethereum.org/docs/,src/pages/docs/fundamentals/pruning.md
https://geth.ethereum.org/docs/interface/merge,page removed,page removed
https://geth.ethereum.org/docs/interface/consensus-clients,https://geth.ethereum.org/docs/,src/pages/docs/getting_started/consensus-clients.md
https://geth.ethereum.org/docs/interface/peer-to-peer,https://geth.ethereum.org/docs/,src/pages/docs/fundamentals/peer-to-peer.md
https://geth.ethereum.org/docs/interface/les,https://geth.ethereum.org/docs/,src/pages/docs/fundamentals/les.md
https://geth.ethereum.org/docs/interface/managing-your-accounts,https://geth.ethereum.org/docs/,src/pages/docs/fundamentals/account-management.md
https://geth.ethereum.org/docs/faq,https://geth.ethereum.org/docs/,src/pages/docs/faq.md
https://geth.ethereum.org/docs/interface/javascript-console,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/javascript-console.md
https://geth.ethereum.org/docs/interface/private-network,https://geth.ethereum.org/docs/,src/pages/docs/developers/geth-developer/private-network.md
https://geth.ethereum.org/docs/interface/mining,page removed,page removed
https://geth.ethereum.org/docs/interface/metrics,https://geth.ethereum.org/docs/,src/pages/docs/monitoring/metrics.md
https://geth.ethereum.org/docs/dapp/native,https://geth.ethereum.org/docs/,src/pages/docs/developers/dapp-developer/native.md
https://geth.ethereum.org/docs/dapp/tracing,https://geth.ethereum.org/docs/,src/pages/docs/developers/dapp-developer/tracing.md
https://geth.ethereum.org/docs/dapp/custom-tracer,https://geth.ethereum.org/docs/,src/pages/docs/developers/dapp-developer/custom-tracer.md
https://geth.ethereum.org/docs/dapp/builtin-tracers,https://geth.ethereum.org/docs/,src/pages/docs/developers/dapp-developer/built-in-tracers.md
https://geth.ethereum.org/docs/dapp/native-accounts,https://geth.ethereum.org/docs/,src/pages/docs/developers/dapp-developer/native-accounts.md
https://geth.ethereum.org/docs/dapp/native-bindings,https://geth.ethereum.org/docs/,src/pages/docs/developers/dapp-developer/native-bindings.md
https://geth.ethereum.org/docs/dapp/mobile,https://geth.ethereum.org/docs/,src/pages/docs/developers/dapp-developer/mobile.md
https://geth.ethereum.org/docs/dapp/mobile-accounts,page removed,page removed
https://geth.ethereum.org/docs/rpc/server,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/server.md
https://geth.ethereum.org/docs/rpc/pubsub,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/pubsub.md
https://geth.ethereum.org/docs/rpc/batch,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/batch.md
https://geth.ethereum.org/docs/rpc/graphql,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/graphql.md
https://geth.ethereum.org/docs/rpc/ns-admin,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-admin.md
https://geth.ethereum.org/docs/rpc/ns-clique,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-clique.md
https://geth.ethereum.org/docs/rpc/ns-debug,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-debug.md
https://geth.ethereum.org/docs/rpc/ns-eth,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-eth.md
https://geth.ethereum.org/docs/rpc/ns-les,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-les.md
https://geth.ethereum.org/docs/rpc/ns-miner,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-miner.md
https://geth.ethereum.org/docs/rpc/ns-net,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-net.md
https://geth.ethereum.org/docs/rpc/ns-personal,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-personalmd
https://geth.ethereum.org/docs/rpc/ns-txpool,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/ns-txpool.md
https://geth.ethereum.org/docs/rpc/objects,https://geth.ethereum.org/docs/,src/pages/docs/interacting-with-geth/rpc/objects.md
https://geth.ethereum.org/docs/developers/devguide,https://geth.ethereum.org/docs/,src/pages/docs/developers/geth-developer/devguide.md
https://geth.ethereum.org/docs/developers/code-review-guidelines,https://geth.ethereum.org/docs/,src/pages/docs/developers/geth-developer/code-review-guidelines.md
https://geth.ethereum.org/docs/developers/issue-handling-workflow,https://geth.ethereum.org/docs/,src/pages/docs/developers/geth-developer/issue-handling-workflow.md
https://geth.ethereum.org/docs/developers/dns-discovery-setup,https://geth.ethereum.org/docs/,src/pages/docs/developers/geth-developer/dns-discovery-workflow.md
https://geth.ethereum.org/docs/clef/introduction,https://geth.ethereum.org/docs/,src/pages/docs/tools/clef/introduction.md
https://geth.ethereum.org/docs/clef/tutorial,https://geth.ethereum.org/docs/,src/pages/docs/tools/clef/tutorial.md
https://geth.ethereum.org/docs/clef/cliquesigning,https://geth.ethereum.org/docs/,src/pages/docs/tools/clef/clique-signing.md
https://geth.ethereum.org/docs/clef/rules,https://geth.ethereum.org/docs/,src/pages/docs/tools/clef/rules.md
https://geth.ethereum.org/docs/clef/setup,https://geth.ethereum.org/docs/,src/pages/docs/tools/clef/setup.md
https://geth.ethereum.org/docs/clef/apis,https://geth.ethereum.org/docs/,src/pages/docs/tools/clef/apis.md
https://geth.ethereum.org/docs/clef/datatypes,https://geth.ethereum.org/docs/,src/pages/docs/tools/clef/datatypes.md
https://github.com/ethereum/go-ethereum/tree/gh-pages/docs/_vulnerabilities/vulnerabilities.json,https://github.com/ethereum/go-ethereum/tree/gh-pages/docs/_vulnerabilities/vulnerabilities.json,src/pages/docs/vulnerabilities/vulnerabilities.json
https://github.com/ethereum/go-ethereum/tree/gh-pages/docs/_vulnerabilities/vulnerabilities.json.minisig,https://github.com/ethereum/go-ethereum/tree/gh-pages/docs/_vulnerabilities/vulnerabilities.json.minisig,src/pages/docs/vulnerabilities/vulnerabilities.json.minisig
https://github.com/ethereum/go-ethereum/tree/gh-pages/docs/_vulnerabilities/vulnerabilities.md,https://geth.ethereum.org/docs/developers/geth-developers/discloures,src/pages/docs/developers/geth-developers/disclosures
